번호,영역,확인 질문,해보기,기대 결과,통과,기기,메모
4-3,시간기록,진행중 기록이 되나?,마감 없이/진행중,진행중 표시,,,
4-4,시간기록,과제 수정·삭제 되나?,카드→수정/삭제,반영,,,
4-5,시간기록,과제 검색·선택 되나?,과제 검색·기본/KPI 과제,선택한 과제로 저장,,,
4-6,시간기록,과제 설정이 되나?,과제 설정→이름 추가,목록 반영(기본·KPI 삭제 제한),,,
4-7,시간기록,조회 기간·필터 되나?,조회 기간·필터→일/주/월/연,해당 조회 화면,,,
4-8,시간기록,일간 날짜 캘린더로 고르나?,타임라인 일간 날짜 칸,해당 날 기록,,,
4-9,시간기록,타임박스 실제·예상 보이나?,타임박스,실제·예상 열·다음 예정,,,
4-10,시간기록,지금 실행/나중에 하기 되나?,다음 예정 카드,기록 시작 또는 스킵,,,
4-11,시간기록,별점·메모·태그 되나?,별점·메모 퀵·태그,저장·칩 표시,,,
4-12,시간기록,카테고리 라벨이 맞나?,시급/행복/건강/근무/수면 등,기록에 카테고리 표시,,,
4-13,시간기록,레포트(시간 가치) 보이나?,레포트·기간 변경,집계·시급 연동 가치,,,
4-14,시간기록,플래너 Day 예상과 연동되나?,양쪽에서 같은 날 확인,슬롯 연동,,,
4-15,시간기록,동기화 후 안 비나?,탭 진입·백그라운드 복귀,빈 덮어쓰기 없이 유지,,,
4-16,시간기록,3분할 왼쪽 임베드 되나?,데스크탑 홈,축소 뷰·푸터 동작,,,
5-1,진행 상황,입장이 되나?,홈 진행 상황,오늘의 행동 등 로드,,,
5-2,진행 상황,보기 5종 전환되나?,오늘의 행동·간트·성공실패·전체할일·행동트래커,제목·내용 전환,,,
5-3,진행 상황,오늘 행동 완료 표시 되나?,항목 체크/완료,상태 유지,,,
5-4,진행 상황,간트에 KPI 일정 보이나?,간트 차트,기간 막대·월 이동,,,
5-5,진행 상황,성공·실패표 보이나?,성공·실패표,날짜별 격자,,,
5-6,진행 상황,전체 할일이 모이나?,전체 할일,시급·건강·행복 통합,,,
5-7,진행 상황,루틴 추가 되나?,행동 트래커→루틴추가,아코디언·세부루틴 격자,,,
5-8,진행 상황,세부 루틴·일별 체크 되나?,세부행·날짜 칸,진행률·완료,,,
5-9,진행 상황,루틴 수정·삭제 되나?,수정→이 루틴 삭제,목록 갱신,,,
5-10,진행 상황,3분할 가운데에 보이나?,데스크탑 홈,임베드·확대 가능,,,
6-1,시급 상승,목표 목록·연도 이동 되나?,시급 상승 입장·연도 ‹ ›,TIME PRICE·분기 카드,,,
6-2,시급 상승,목표 추가 되나?,목표 추가→이름·금액·분기,분기별 카드,,,
6-3,시급 상승,목표 수정·삭제 되나?,목표 편집 모달,반영,,,
6-4,시급 상승,행동(KPI) 추가 되나?,목표→행동 추가,KPI 카드,,,
6-5,시급 상승,↓낮음(낮을수록 좋음) 되나?,해당 옵션 행동,배지·진행 방향 반영,,,
6-6,시급 상승,수입 로그 되나?,수입 로그→숫자·메모→저장,누적/진행률 갱신,,,
6-7,시급 상승,로그/할일/매일할일/기록 전환?,상세 세그먼트,각 목록·빈 안내,,,
6-8,시급 상승,할일 완료·완료목록 삭제?,체크→완료목록 모두 삭제,완료분만 제거,,,
6-9,시급 상승,푸터 뒤로 계층이 맞나?,상세→목록→목표→오늘,각 단계로 정확히 복귀,,,
6-10,시급 상승,탭 전환 후 안 비나?,다른 탭↔시급 반복,유실·빈 덮어쓰기 없음,,,
7-1,건강,건강 목표 추가 되나?,건강 목표 추가(예: 몸무게),목록·그래프,,,
7-2,건강,로그 추가·기록 기간 되나?,로그 추가·기록 기간,그래프·로그 저장,,,
7-3,건강,행동 추가 되나?,행동 추가(예: 유산소),카드·상세,,,
7-4,건강,유형별 탭(로그·할일·검진 등) 맞나?,KPI 유형별 세그먼트,라벨·빈 문구가 유형에 맞음,,,
7-5,건강,할일·매일할일 완료·삭제?,체크·완료목록 삭제,반영,,,
7-6,행복,행동 추가 되나?,행동 추가(예: 독서),카드 목록,,,
7-7,행복,로그/할일/매일할일 되나?,세그먼트,추가·완료·기록,,,
7-8,행복,독서 KPI 특수 탭 되나?,읽을 예정·위시리스트,추가·수정(책·분야),,,
7-9,행복,정리할 구역형 카피 맞나?,해당 기본 루틴 KPI,정리할 구역 추가 등,,,
7-10,건강·행복,오늘(메인)으로 복귀 되나?,푸터 오늘,홈 이동,,,
8-1,관리자,지정 관리자만 보이나?,관리자/일반 비교,일반은 버튼 없음,,,
8-2,관리자,전체 목록·새로고침 되나?,관리자전용→새로고침,이메일·가입·구독 테이블,,,
8-3,관리자,이메일 검색 되나?,이메일 검색…,필터된 행,,,
8-4,관리자,1년 이용권 부여 되나?,행에서 부여,만료일·상태 갱신,,,
8-5,관리자,상태·만료일 저장 되나?,active/inactive·날짜→저장,반영,,,
8-6,관리자,이용 만료 목록 되나?,이용 만료 섹션,만료 사용자만,,,
8-7,관리자,탈퇴 회원 목록 되나?,탈퇴 섹션,탈퇴일 등 표시,,,
8-8,관리자,비관리자 접근이 막히나?,일반 계정으로 관리 시도,관리자만 안내,,,
9-1,공통·동기화,탭 진입 시 최신이 오나?,플래너·시간·KPI·진행 입장,로딩 후 빈 덮어쓰기 없음,,,
9-2,공통·동기화,백그라운드 복귀 시 갱신?,앱 백그라운드→복귀,활성 탭 soft pull,,,
9-3,공통·동기화,3분할이 다른 기기 반영하나?,타기기 기록 후 홈 유지,시간·캘린더 칸 갱신,,,
9-4,공통·동기화,계정 전환 시 데이터 안 섞이나?,A 로그아웃→B 로그인,B 데이터만,,,
9-5,공통 UX,글꼴이 여러 탭에 적용되나?,계정에서 글꼴 변경 후 이동,메뉴·본문 유지,,,
9-6,공통 UX,구독 만료 게이트 되나?,만료 계정 로그인,이용기간 종료 안내·차단,,,
9-7,공통 UX,키보드에 모달 안 가리나?,휴대폰 과제기록·할일추가,입력·확인 사용 가능,,,
9-8,공통 UX,가로·세로 회전 OK?,플래너·시간·홈,치명적 깨짐 없이 사용,,,
9-9,공통 UX,웹 푸시/OS 알림 있나?,설정·권한 UI 탐색,없음(해당없음 —),,,
